# table	dimension	die	index	entry	spec	timestamp
hooks	-	20	5	某位调查员继承了一处自己都不知道存在的房产,附带条件	-	2026-08-08T10:16:32
locations	-	20	15	一座勘测站、灯塔或中继站,两人一组轮班驻守	-	2026-08-08T10:16:32
mythos-angles	-	20	18	迁徙——某个来自别处的东西之所以在这里,是因为它原来的地方待不下去了	-	2026-08-08T10:16:32
complications	-	20	11	某位调查员在一个不该被认出来的地方被认了出来	-	2026-08-08T10:16:32
locations	-	20	11	一处正在办遗产认证的宅邸,物品已造册,尚未搬走	-	2026-08-08T10:32:58
locations	-	20	16	一个市场或集市,其中一个摊位从不收摊	-	2026-08-08T10:32:58
town-institutions	-	20	1	法律与文书:一间律师事务所或公证处,手上有一份迟迟没人来签收的文件	-	2026-08-08T10:32:58
town-institutions	-	20	17	工厂与商业设施:一座半停工的作坊或仓库,夜班的灯还亮着	-	2026-08-08T10:32:58
town-institutions	-	20	18	杂项:一处施工工地或废弃地基,进度比合理工期慢了不止一倍	-	2026-08-08T10:32:58
town-institutions	-	20	3	治安与阴影:一名警员或私家侦探,手头有一桩多年未结的旧案,逢人就想再提	-	2026-08-08T10:32:58
town-institutions	-	20	19	殡葬墓地:一间殡仪馆或老墓园,记录本上有几页被撕掉了	-	2026-08-08T10:32:58
town-institutions	-	20	12	运输与劳力:一位马车夫或码头工头,深更半夜总在替人跑一趟说不清的差事	-	2026-08-08T10:32:58
town-institutions	-	20	6	店铺与经纪:一家杂货店或旧货经纪,账本上有一笔总也对不上的进货	-	2026-08-08T10:32:58
town-institutions	-	20	2	医疗与心理:一位私人执业的医生或心理分析师,病历柜锁着,连护士都进不去	-	2026-08-08T10:32:58
